right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.361,6,8.9719,-0.3321,-10.3811,0.8256,0.1447,-0.2612,94,0.07,1,9.0709,-1.2164,-15.0065,1.1915,-1.0764,0.5705,64
0.413,7,10.1628,-1.5759,-11.3058,1.2791,0.784,-0.286,94,0.122,2,8.5028,-1.4286,-14.702,1.3432,-1.4475,0.7013,64
0.465,8,11.5015,-0.9403,-7.2718,0.6197,0.573,-0.0294,94,0.174,3,8.3911,-1.3751,-14.3536,1.4514,-1.476,0.644,64
0.517,9,11.2243,-0.3406,-8.019,0.5279,0.4391,0.0707,94,0.226,4,8.5612,-1.307,-13.9338,1.4154,-1.4341,0.5364,64
0.569,10,10.8251,-0.2467,-8.7177,0.4607,0.3286,0.1547,94,0.277,5,8.5805,-1.8028,-13.7279,1.1924,-1.5042,0.4908,64
0.62,11,10.5789,-0.1968,-9.237,0.3936,0.2988,0.144,94,0.329,6,8.2901,-2.2732,-14.2555,1.0098,-1.4933,0.4246,64
0.672,12,10.2737,-0.1439,-9.5545,0.3808,0.3164,0.1473,94,0.381,7,7.9577,-2.599,-14.4479,0.8806,-1.4444,0.3817,64
0.724,13,10.2096,-0.0634,-9.6457,0.4423,0.2504,0.1517,94,0.433,8,7.47,-3.0494,-14.5094,0.9694,-1.3216,0.3327,64
0.776,14,10.0383,-0.2061,-9.6567,0.3881,0.1711,0.1712,94,0.484,9,7.0124,-3.6982,-14.4845,0.9794,-1.174,0.2929,64
0.827,15,9.9401,-0.2656,-9.7989,0.3443,0.1205,0.1546,94,0.536,10,6.8039,-4.1878,-15.2889,0.6676,-1.0797,0.3769,64
0.879,16,9.906,-0.0916,-9.8402,0.254,0.0992,0.135,94,0.588,11,6.5043,-5.2733,-16.5511,0.5197,-1.1385,0.7558,64
0.931,17,9.7351,-0.2485,-9.969,-0.0322,0.1273,0.1467,94,0.64,12,5.4218,-5.9556,-16.7437,0.3861,-1.2626,1.1628,64
0.983,18,9.7177,-0.4655,-9.9753,-0.0886,0.0889,0.0974,94,0.691,13,3.9701,-6.339,-16.4617,0.3259,-1.3825,1.3582,64
1.035,19,9.6611,-0.6364,-9.9635,-0.0411,0.0867,0.0582,94,0.743,14,2.611,-6.1098,-15.656,0.4395,-1.3895,1.3613,64
1.086,20,9.6488,-0.6673,-9.9528,0.05,0.093,0.0598,94,0.795,15,1.5988,-5.9231,-14.9593,0.4883,-1.3,1.1829,64
1.138,21,9.63,-0.5475,-9.8559,0.0823,0.076,0.0513,94,0.847,16,0.9556,-5.6222,-14.2091,0.4758,-1.0351,0.8584,64
1.19,22,9.6797,-0.2783,-9.815,0.0485,0.0533,0.0572,94,0.899,17,0.7068,-5.845,-14.7287,0.3025,-0.6855,0.5329,64
