right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage
0.677,13,9.2975,-2.2138,-10.6988,0.029,0.1654,0.0175,93,0.185,3,8.221,-1.7107,-16.0559,-0.0459,-1.3664,0.1723,63
0.729,14,9.2595,-2.2847,-10.5723,-0.0939,0.1431,0.0611,93,0.237,4,6.7503,-2.014,-15.592,-0.1878,-1.6089,0.2353,63
0.781,15,9.2982,-2.2214,-10.5617,-0.3201,0.1182,0.1377,93,0.289,5,5.7012,-1.7932,-15.9111,-0.3288,-1.6388,0.2322,63
0.832,16,9.4029,-2.6494,-10.699,-0.2776,-0.0033,0.0957,93,0.34,6,5.0693,-1.8615,-16.2401,-0.3001,-1.5335,0.1708,63
0.884,17,9.3568,-2.6673,-10.7954,-0.261,-0.0805,0.0247,93,0.392,7,4.6824,-1.8209,-16.3993,-0.0077,-1.3084,0.0751,63
0.936,18,9.3387,-2.6317,-10.9042,-0.1387,-0.0875,0.0102,93,0.444,8,3.897,-1.8691,-16.4755,0.0992,-0.9706,-0.0578,63
0.988,19,9.3359,-2.5456,-10.8538,-0.045,-0.0572,0.1375,93,0.496,9,3.2962,-1.9615,-16.8773,0.03,-0.6289,-0.1855,63
1.04,20,9.3168,-2.9372,-10.8924,-0.1349,-0.0547,0.2499,93,0.547,10,3.1705,-2.107,-17.595,-0.0226,-0.3815,-0.2833,63
1.091,21,9.2793,-3.0222,-10.984,-0.151,-0.1429,0.2493,93,0.599,11,3.1808,-2.2687,-18.0872,0.0847,-0.2582,-0.3453,63
1.143,22,9.0735,-3.0981,-11.1386,-0.1085,-0.2037,0.2523,93,0.651,12,3.2384,-2.2927,-18.3683,0.1432,-0.1928,-0.4057,63
